text,label,text1,text2
NBA大型失业潮！52人被裁，但有8个裁得太感人了,0,nba失业潮：有几个人被裁，但有8个人被裁了,nba失业潮，有多少人被裁
总部位于德国的能源巨头西门子公司，日前宣布了一项涉及全球2700名员工的裁员计划。,0,德国的西门子公司宣布了一项涉及全球2700名员工的裁,在德国，有一项巨头宣布的事情是涉及全球2700名员工
蔚来汽车裁员千人，英国石油和滴滴在中国合建电动汽车充电网络,0,蔚来汽车裁员千人，英国石油和滴滴合建电动汽车充电网络,滴滴电动汽车和英国石油合并了吗
德意志银行裁员18000人的计划中约半数拟发生在德国,0,德意志银行裁员18000人的计划中约半数拟发生在德国的,德意志银行裁员18000人的计划是否发生在欧洲
背后“阴”华为的恶报还没结束？汇丰全球裁员1万人，还是高薪位,0,华为被全球裁员了，是华为的恶报吗,汇丰全球裁员1万人，还是高薪位
官方：勇士裁掉麦金尼、坎宁安和宰斯洛夫特,0,勇士裁掉麦金尼，宰斯洛夫特，为什么没,勇士裁掉麦金尼和宰斯洛夫特是什么情况
北京时间10日消息，美国油田服务巨头哈里伯顿周三宣布，将在科罗拉多州、怀俄明州、新墨西哥州和北达科他州裁员650人，因油气开采活动放缓。,0,美国油田服务巨头哈里伯顿宣布，将在怀俄明州、新墨西哥州和北达科他州裁员650人，因为什么？,美国油田服务巨头哈里伯顿宣布，将在新墨西哥州和北达科他州开采油气，对中国有没有好处？
动视暴雪大裁员近千人！两大游戏方联手控诉“神仙打架”玩家遭殃,0,动视暴雪裁员近千人两大游戏方联手控诉神仙打架玩家遭殃,暴雪大裁员近千人，两大游戏方联手控诉神仙打架玩家遭殃
华为在美国裁员600人，8000亿资本撤离美国：七大巨头进谏特朗普,0,华为在美国裁员600人，8000亿资本撤离美国：特朗普,华为在美国裁员600人，8000亿资本撤离美国，特朗普
日产拟裁员超万人 董事长被捕的坑怎么填,0,日产拟裁员超万人董事长被捕的坑怎么填,日产拟裁员超万人董事长被捕的坑怎么填写
周一福特公司表示，福特将在截至8月底的重组中裁员约7千人，相当于削减其全球带薪劳动力的10%。,0,福特将在截至7月的重组中裁员约,福特将在截至8月底的重组中裁员
福特汽车将在全球裁减7000个白领岗位,0,福特车将裁减7000个白领岗位,福特汽车将裁员7000个白领岗位
跟队记者：活塞裁掉特雷肖-瑟曼 签下特拉德翁-霍林斯,0,活塞特雷肖-瑟曼签下特拉德翁-霍林斯,活塞特拉德翁-霍林斯和特雷肖-瑟曼签约哪一年
Uber全球裁员400人 史上最大规模,0,为什么uber全球裁员400人，全球裁员人数超过,uber全球裁员400人为什么uber
日媒称日产裁员人数将扩大到1万人以上,0,日产裁员人员将扩大到1万人以上,日产裁员人数会扩大到多少
据《华尔街日报》在7月14日引述知情人士的话称，华为正计划对其美国业务部门进行大规模裁员。报道称，华为在美国的约1500名雇员主要负责向偏远农村地区出售通信设备，其余为华为在美国的研发子公司Futurewei工作，此次裁员预计将影响该公司在华盛顿州、加利福尼亚州和得克萨斯州的实验中心的约850名员工。,0,华为在美国将对中国业务部门进行裁员。报道称华为在美国被裁员了吗？,华为在美国将要对其美国业务部门进行大规模裁员吗？
目前，该银行开始在全球范围内裁员1.8万人，这是金融危机后最大规模的一次投资银行重组。,0,银行在全球范围内裁员1.8万人，这是,目前，该银行开始在全球范围内裁员1.
